"#","Reference","Qty","Value","Footprint","DNP"
"1","C8, C9","2","47uF","Capacitor_SMD:C_0805_2012Metric",""
"2","C11, C12, C13, C26, C27, C28","6","1uF","Capacitor_SMD:C_0805_2012Metric",""
"3","C14, C16, C19, C20","4","270pF","Capacitor_SMD:C_0805_2012Metric",""
"4","C15, C17","2","47uF/6.3V/20%/X5R/C0805","Capacitor_SMD:C_0805_2012Metric",""
"5","C18","1","100nF/50V/20%/Y5V/C0603","Capacitor_SMD:C_0805_2012Metric",""
"6","C21","1","100nF","Capacitor_SMD:C_0805_2012Metric",""
"7","C22, C23, C24, C25","4","2.2uF","Capacitor_SMD:C_0805_2012Metric",""
"8","FB1, FB2, FB3, FB4","4","FB0805","Inductor_SMD:L_0805_2012Metric",""
"9","J1","1","Conn_01x09_Male","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical",""
"10","J2","1","47219-2001","sdcard-libs:MOLEX_47219-2001",""
"11","J3","1","buttons","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical",""
"12","J4","1","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"13","J5","1","PJ-327U-SMT","audio:PJ327USMT",""
"14","J6, J7","2","Conn_01x02_Pin","Capacitor_SMD:C_0805_2012Metric",""
"15","R2, R3","2","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","R6","1","100K","Resistor_SMD:R_0805_2012Metric",""
"17","R7, R8","2","10k","Resistor_SMD:R_0805_2012Metric",""
"18","R9","1","1K","Resistor_SMD:R_0805_2012Metric",""
"19","R10","1","1K(n.a.)","Resistor_SMD:R_0805_2012Metric",""
"20","R13","1","49K","Resistor_SMD:R_0805_2012Metric",""
"21","U1","1","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH",""
"22","U3","1","PCM5102A","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm",""
"23","U5","1","PAM8003","audio:SO16",""
"24","U7","1","TPA6139A2PWR","audio:SOP65P640X120-14N",""
